NO2,NO,CO,NH3,V0,V1,V2,V3,V4,V5,tf
105,83,0,131,-4.552e-02,2.149e-02,-6.700e-02,-2.726e-02,4.673e-03,-3.194e-02,3677
60,121,0,105,-5.038e-02,1.642e-02,-6.682e-02,-2.884e-02,8.491e-03,-3.733e-02,3697
83,66,0,137,-6.053e-02,1.497e-02,-7.549e-02,-3.563e-02,9.973e-03,-4.561e-02,3717
125,125,0,125,-2.880e-02,3.015e-02,-5.896e-02,-1.826e-02,-5.028e-04,-1.776e-02,3737
150,75,0,75,1.818e-02,4.452e-02,-2.635e-02,1.096e-02,-9.498e-03,2.046e-02,3757
81,75,0,102,-3.954e-02,1.926e-02,-5.881e-02,-2.166e-02,3.632e-03,-2.530e-02,3777
120,121,0,136,-3.937e-02,2.606e-02,-6.543e-02,-2.486e-02,2.646e-03,-2.751e-02,3797
50,125,0,100,-5.256e-02,1.380e-02,-6.640e-02,-2.940e-02,9.282e-03,-3.868e-02,3817
150,125,0,100,9.575e-04,4.122e-02,-4.023e-02,2.497e-04,-7.401e-03,7.648e-03,3837
50,125,0,125,-6.588e-02,1.155e-02,-7.744e-02,-3.787e-02,1.269e-02,-5.057e-02,3857
150,50,0,100,2.233e-04,3.762e-02,-3.740e-02,1.340e-03,-7.991e-03,9.326e-03,3878
125,125,0,50,2.562e-02,4.702e-02,-2.139e-02,1.369e-02,-8.988e-03,2.268e-02,3898
139,78,0,104,-7.972e-03,3.504e-02,-4.301e-02,-3.934e-03,-6.247e-03,2.305e-03,3918
115,103,0,150,-5.120e-02,2.171e-02,-7.289e-02,-3.252e-02,6.438e-03,-3.897e-02,3938
100,100,0,75,-6.049e-03,3.185e-02,-3.789e-02,-2.528e-03,-4.749e-03,2.217e-03,3958
64,74,0,94,-4.396e-02,1.502e-02,-5.899e-02,-2.361e-02,5.608e-03,-2.923e-02,3978
75,150,0,75,-1.942e-02,2.712e-02,-4.655e-02,-1.129e-02,-2.453e-04,-1.105e-02,3998
75,75,0,150,-7.060e-02,1.167e-02,-8.230e-02,-4.212e-02,1.307e-02,-5.519e-02,4018
136,146,0,86,4.670e-03,4.216e-02,-3.750e-02,2.098e-03,-7.192e-03,9.286e-03,4038
100,50,0,125,-4.586e-02,1.917e-02,-6.504e-02,-2.666e-02,4.489e-03,-3.115e-02,4058
100,150,0,100,-2.433e-02,2.880e-02,-5.313e-02,-1.500e-02,-3.216e-04,-1.468e-02,4079
124,61,0,60,1.846e-02,4.055e-02,-2.209e-02,1.115e-02,-8.907e-03,2.005e-02,4099
150,50,0,125,-1.843e-02,3.250e-02,-5.092e-02,-1.033e-02,-5.002e-03,-5.337e-03,4119
125,100,0,75,7.096e-03,3.908e-02,-3.200e-02,4.628e-03,-7.561e-03,1.219e-02,4139
130,50,0,76,8.725e-03,3.746e-02,-2.872e-02,6.506e-03,-8.354e-03,1.486e-02,4159
100,150,0,125,-4.203e-02,2.392e-02,-6.595e-02,-2.654e-02,4.625e-03,-3.117e-02,4179
75,125,0,125,-5.591e-02,1.650e-02,-7.241e-02,-3.345e-02,9.515e-03,-4.297e-02,4199
150,125,0,75,1.799e-02,4.649e-02,-2.849e-02,1.003e-02,-9.092e-03,1.912e-02,4219
